Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
30.0,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
31.0,Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite
32.0,Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite
33.0,Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite
34.0,Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite
35.0,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
36.0,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
37.0,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
38.0,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
39.0,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
40.0,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
41.0,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
42.0,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
43.0,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
44.0,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
45.0,Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination
46.0,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
47.0,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
48.0,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
49.0,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
50.0,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
51.0,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
52.0,Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
53.0,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
54.0,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
55.0,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases
56.0,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
57.0,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
58.0,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
59.0,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
60.0,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
61.0,AIDS, patches_in_throat, high_fever, extra_marital_contacts,
62.0,AIDS, muscle_wasting, high_fever, extra_marital_contacts,
63.0,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,
64.0,AIDS, muscle_wasting, patches_in_throat, high_fever,
65.0,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
66.0,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
67.0,AIDS, patches_in_throat, high_fever, extra_marital_contacts,
68.0,AIDS, muscle_wasting, high_fever, extra_marital_contacts,
69.0,AIDS, muscle_wasting, patches_in_throat, high_fever,
70.0,Diabetes , fatigue, weight_loss, restlessness, lethargy
71.0,Diabetes , fatigue, weight_loss, restlessness, lethargy
72.0,Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level
73.0,Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level
74.0,Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level
75.0,Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level
76.0,Diabetes , fatigue, weight_loss, restlessness, lethargy
77.0,Diabetes , fatigue, weight_loss, restlessness, lethargy
78.0,Diabetes , fatigue, weight_loss, restlessness, lethargy
79.0,Diabetes , fatigue, weight_loss, restlessness, lethargy
80.0,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
81.0,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
82.0,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,
83.0,Gastroenteritis, vomiting, dehydration, diarrhoea,
84.0,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,
85.0,Gastroenteritis, vomiting, sunken_eyes, dehydration,
86.0,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
87.0,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,
88.0,Gastroenteritis, vomiting, dehydration, diarrhoea,
89.0,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,
90.0,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
91.0,Bronchial Asthma, cough, high_fever, breathlessness, family_history
92.0,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history
93.0,Bronchial Asthma, fatigue, cough, breathlessness, family_history
94.0,Bronchial Asthma, fatigue, cough, high_fever, family_history
95.0,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
96.0,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
97.0,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
98.0,Bronchial Asthma, cough, high_fever, breathlessness, family_history
99.0,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history
100.0,Hypertension , headache, chest_pain, dizziness, loss_of_balance
101.0,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
102.0,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
103.0,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
104.0,Hypertension , headache, chest_pain, dizziness, lack_of_concentration
105.0,Hypertension , headache, chest_pain, dizziness, loss_of_balance
106.0,Hypertension , headache, chest_pain, dizziness, loss_of_balance
107.0,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
108.0,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
109.0,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
110.0,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
111.0,Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger
112.0,Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger
113.0,Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger
114.0,Migraine, acidity, indigestion, headache, excessive_hunger
115.0,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
116.0,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
117.0,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
118.0,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
119.0,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
120.0,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
121.0,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
122.0,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
123.0,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
124.0,Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance
125.0,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance
126.0,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
127.0,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
128.0,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
129.0,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
130.0,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
131.0,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
132.0,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
133.0,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
134.0,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
135.0,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,
136.0,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
137.0,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
138.0,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
139.0,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
140.0,Jaundice,itching, vomiting, fatigue, weight_loss
141.0,Jaundice,itching, vomiting, fatigue, weight_loss
142.0,Jaundice, vomiting, fatigue, weight_loss, high_fever
143.0,Jaundice,itching, fatigue, weight_loss, high_fever
144.0,Jaundice,itching, vomiting, weight_loss, high_fever
145.0,Jaundice,itching, vomiting, fatigue, high_fever
146.0,Jaundice,itching, vomiting, fatigue, weight_loss
147.0,Jaundice,itching, vomiting, fatigue, weight_loss
148.0,Jaundice,itching, vomiting, fatigue, weight_loss
149.0,Jaundice,itching, vomiting, fatigue, weight_loss
150.0,Malaria, chills, vomiting, high_fever, sweating
151.0,Malaria, chills, vomiting, high_fever, sweating
152.0,Malaria, chills, vomiting, high_fever, sweating
153.0,Malaria, vomiting, high_fever, sweating, headache
154.0,Malaria, chills, high_fever, sweating, headache
155.0,Malaria, chills, vomiting, sweating, headache
156.0,Malaria, chills, vomiting, high_fever, headache
157.0,Malaria, chills, vomiting, high_fever, sweating
158.0,Malaria, chills, vomiting, high_fever, sweating
159.0,Malaria, chills, vomiting, high_fever, sweating
160.0,Chicken pox,itching, skin_rash, fatigue, lethargy
161.0,Chicken pox, skin_rash, fatigue, lethargy, high_fever
162.0,Chicken pox,itching, fatigue, lethargy, high_fever
163.0,Chicken pox,itching, skin_rash, lethargy, high_fever
164.0,Chicken pox,itching, skin_rash, fatigue, high_fever
165.0,Chicken pox,itching, skin_rash, fatigue, lethargy
166.0,Chicken pox,itching, skin_rash, fatigue, lethargy
167.0,Chicken pox,itching, skin_rash, fatigue, lethargy
168.0,Chicken pox,itching, skin_rash, fatigue, lethargy
169.0,Chicken pox,itching, skin_rash, fatigue, lethargy
170.0,Dengue, skin_rash, chills, joint_pain, vomiting
171.0,Dengue, skin_rash, chills, joint_pain, vomiting
172.0,Dengue, skin_rash, chills, joint_pain, vomiting
173.0,Dengue, skin_rash, chills, joint_pain, vomiting
174.0,Dengue, chills, joint_pain, vomiting, fatigue
175.0,Dengue, skin_rash, joint_pain, vomiting, fatigue
176.0,Dengue, skin_rash, chills, vomiting, fatigue
177.0,Dengue, skin_rash, chills, joint_pain, fatigue
178.0,Dengue, skin_rash, chills, joint_pain, vomiting
179.0,Dengue, skin_rash, chills, joint_pain, vomiting
180.0,Typhoid, chills, vomiting, fatigue, high_fever
181.0,Typhoid, chills, vomiting, fatigue, high_fever
182.0,Typhoid, chills, vomiting, fatigue, high_fever
183.0,Typhoid, chills, vomiting, fatigue, high_fever
184.0,Typhoid, chills, vomiting, fatigue, high_fever
185.0,Typhoid, chills, vomiting, fatigue, high_fever
186.0,Typhoid, chills, vomiting, fatigue, high_fever
187.0,Typhoid, chills, vomiting, fatigue, high_fever
188.0,Typhoid, chills, vomiting, fatigue, high_fever
189.0,Typhoid, chills, fatigue, high_fever, headache
190.0,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
191.0,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
192.0,hepatitis A, vomiting, yellowish_skin, dark_urine, nausea
193.0,hepatitis A, joint_pain, yellowish_skin, dark_urine, nausea
194.0,hepatitis A, joint_pain, vomiting, dark_urine, nausea
195.0,hepatitis A, joint_pain, vomiting, yellowish_skin, nausea
196.0,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
197.0,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
198.0,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
199.0,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
200.0,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
201.0,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
202.0,Hepatitis B, fatigue, lethargy, yellowish_skin, dark_urine
203.0,Hepatitis B,itching, lethargy, yellowish_skin, dark_urine
204.0,Hepatitis B,itching, fatigue, yellowish_skin, dark_urine
205.0,Hepatitis B,itching, fatigue, lethargy, dark_urine
206.0,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
207.0,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
208.0,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
209.0,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
210.0,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
211.0,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
212.0,Hepatitis C, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes
213.0,Hepatitis C, fatigue, nausea, loss_of_appetite, yellowing_of_eyes
214.0,Hepatitis C, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes
215.0,Hepatitis C, fatigue, yellowish_skin, nausea, yellowing_of_eyes
216.0,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
217.0,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
218.0,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
219.0,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
220.0,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
221.0,Hepatitis D, vomiting, fatigue, yellowish_skin, dark_urine
222.0,Hepatitis D, joint_pain, fatigue, yellowish_skin, dark_urine
223.0,Hepatitis D, joint_pain, vomiting, yellowish_skin, dark_urine
224.0,Hepatitis D, joint_pain, vomiting, fatigue, dark_urine
225.0,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
226.0,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
227.0,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
228.0,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
229.0,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
230.0,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
231.0,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
232.0,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
233.0,Hepatitis E, vomiting, fatigue, high_fever, yellowish_skin
234.0,Hepatitis E, joint_pain, fatigue, high_fever, yellowish_skin
235.0,Hepatitis E, joint_pain, vomiting, high_fever, yellowish_skin
236.0,Hepatitis E, joint_pain, vomiting, fatigue, yellowish_skin
237.0,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
238.0,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
239.0,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
240.0,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
241.0,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
242.0,Alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen
243.0,Alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen
244.0,Alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen
245.0,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen
246.0,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
247.0,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
248.0,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
249.0,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
250.0,Tuberculosis, chills, vomiting, fatigue, weight_loss
251.0,Tuberculosis, chills, vomiting, fatigue, weight_loss
252.0,Tuberculosis, vomiting, fatigue, weight_loss, cough
253.0,Tuberculosis, chills, fatigue, weight_loss, cough
254.0,Tuberculosis, chills, vomiting, weight_loss, cough
255.0,Tuberculosis, chills, vomiting, fatigue, cough
256.0,Tuberculosis, chills, vomiting, fatigue, weight_loss
257.0,Tuberculosis, chills, vomiting, fatigue, weight_loss
258.0,Tuberculosis, chills, vomiting, fatigue, weight_loss
259.0,Tuberculosis, chills, vomiting, fatigue, weight_loss
260.0,Common Cold, continuous_sneezing, chills, fatigue, cough
261.0,Common Cold, continuous_sneezing, chills, fatigue, cough
262.0,Common Cold, chills, fatigue, cough, high_fever
263.0,Common Cold, continuous_sneezing, fatigue, cough, high_fever
264.0,Common Cold, continuous_sneezing, chills, cough, high_fever
265.0,Common Cold, continuous_sneezing, chills, fatigue, high_fever
266.0,Common Cold, continuous_sneezing, chills, fatigue, cough
267.0,Common Cold, continuous_sneezing, chills, fatigue, cough
268.0,Common Cold, continuous_sneezing, chills, fatigue, cough
269.0,Common Cold, continuous_sneezing, chills, fatigue, cough
270.0,Pneumonia, chills, fatigue, cough, high_fever
271.0,Pneumonia, chills, fatigue, cough, high_fever
272.0,Pneumonia, chills, fatigue, cough, high_fever
273.0,Pneumonia, fatigue, cough, high_fever, breathlessness
274.0,Pneumonia, chills, cough, high_fever, breathlessness
275.0,Pneumonia, chills, fatigue, high_fever, breathlessness
276.0,Pneumonia, chills, fatigue, cough, breathlessness
277.0,Pneumonia, chills, fatigue, cough, high_fever
278.0,Pneumonia, chills, fatigue, cough, high_fever
279.0,Pneumonia, chills, fatigue, cough, high_fever
280.0,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
281.0,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
282.0,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
283.0,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus
284.0,Dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus
285.0,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus
286.0,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus
287.0,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
288.0,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
289.0,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
290.0,Heart attack, vomiting, breathlessness, sweating, chest_pain
291.0,Heart attack, vomiting, breathlessness, sweating, chest_pain
292.0,Heart attack, breathlessness, sweating, chest_pain,
293.0,Heart attack, vomiting, sweating, chest_pain,
294.0,Heart attack, vomiting, breathlessness, chest_pain,
295.0,Heart attack, vomiting, breathlessness, sweating,
296.0,Heart attack, vomiting, breathlessness, sweating, chest_pain
297.0,Heart attack, breathlessness, sweating, chest_pain,
298.0,Heart attack, vomiting, sweating, chest_pain,
299.0,Heart attack, vomiting, breathlessness, chest_pain,
300.0,Varicose veins, fatigue, cramps, bruising, obesity
301.0,Varicose veins, fatigue, cramps, bruising, obesity
302.0,Varicose veins, cramps, bruising, obesity, swollen_legs
303.0,Varicose veins, fatigue, bruising, obesity, swollen_legs
304.0,Varicose veins, fatigue, cramps, obesity, swollen_legs
305.0,Varicose veins, fatigue, cramps, bruising, swollen_legs
306.0,Varicose veins, fatigue, cramps, bruising, obesity
307.0,Varicose veins, fatigue, cramps, bruising, obesity
308.0,Varicose veins, fatigue, cramps, bruising, obesity
309.0,Varicose veins, fatigue, cramps, bruising, obesity
310.0,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
311.0,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
312.0,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
313.0,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
314.0,Hypothyroidism, fatigue, cold_hands_and_feets, mood_swings, lethargy
315.0,Hypothyroidism, fatigue, weight_gain, mood_swings, lethargy
316.0,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, lethargy
317.0,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
318.0,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
319.0,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
320.0,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
321.0,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
322.0,Hyperthyroidism, mood_swings, weight_loss, restlessness, sweating
323.0,Hyperthyroidism, fatigue, weight_loss, restlessness, sweating
324.0,Hyperthyroidism, fatigue, mood_swings, restlessness, sweating
325.0,Hyperthyroidism, fatigue, mood_swings, weight_loss, sweating
326.0,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
327.0,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
328.0,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
329.0,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
330.0,Hypoglycemia, vomiting, fatigue, anxiety, sweating
331.0,Hypoglycemia, vomiting, fatigue, anxiety, sweating
332.0,Hypoglycemia, vomiting, fatigue, anxiety, sweating
333.0,Hypoglycemia, fatigue, anxiety, sweating, headache
334.0,Hypoglycemia, vomiting, anxiety, sweating, headache
335.0,Hypoglycemia, vomiting, fatigue, sweating, headache
336.0,Hypoglycemia, vomiting, fatigue, anxiety, headache
337.0,Hypoglycemia, vomiting, fatigue, anxiety, sweating
338.0,Hypoglycemia, vomiting, fatigue, anxiety, sweating
339.0,Hypoglycemia, vomiting, fatigue, anxiety, sweating
340.0,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
341.0,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
342.0,Osteoarthristis, neck_pain, knee_pain, hip_joint_pain, swelling_joints
343.0,Osteoarthristis, joint_pain, knee_pain, hip_joint_pain, swelling_joints
344.0,Osteoarthristis, joint_pain, neck_pain, hip_joint_pain, swelling_joints
345.0,Osteoarthristis, joint_pain, neck_pain, knee_pain, swelling_joints
346.0,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
347.0,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
348.0,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
349.0,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
350.0,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
351.0,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
352.0,Arthritis, stiff_neck, swelling_joints, movement_stiffness, painful_walking
353.0,Arthritis, muscle_weakness, swelling_joints, movement_stiffness, painful_walking
354.0,Arthritis, muscle_weakness, stiff_neck, movement_stiffness, painful_walking
355.0,Arthritis, muscle_weakness, stiff_neck, swelling_joints, painful_walking
356.0,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
357.0,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
358.0,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
359.0,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
360.0,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
361.0,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
362.0,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements, loss_of_balance
363.0,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning_movements, loss_of_balance
364.0,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements, loss_of_balance
365.0,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance
366.0,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
367.0,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
368.0,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
369.0,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance
370.0,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
371.0,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
372.0,Acne, pus_filled_pimples, blackheads, scurring,
373.0,Acne, skin_rash, blackheads, scurring,
374.0,Acne, skin_rash, pus_filled_pimples, scurring,
375.0,Acne, skin_rash, pus_filled_pimples, blackheads,
376.0,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
377.0,Acne, skin_rash, pus_filled_pimples, blackheads,
378.0,Acne, skin_rash, pus_filled_pimples, scurring,
379.0,Acne, skin_rash, blackheads, scurring,
380.0,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
381.0,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
382.0,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
383.0,Urinary tract infection, burning_micturition, foul_smell_of urine, continuous_feel_of_urine,
384.0,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
385.0,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine,
386.0,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
387.0,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
388.0,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
389.0,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
390.0,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
391.0,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
392.0,Psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails
393.0,Psoriasis, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails
