disease,symptom_1,symptom_2,symptom_3,symptom_4
Malaria,,headache,fever,muscle pain
Gastroenteritis,,stomach pain,muscle ache,nausea
Common Cold,,sore throat,sneezing,congestion
Dengue,severe headache,nausea,joint pain,muscle pain
Gastroenteritis,fever,,nausea,
Asthma,shortness of breath,,wheezing,chest pain
Hypertension,chest pain,shortness of breath,dizziness,
Migraine,blurred vision,sensitivity to sound,sensitivity to light,nausea
Asthma,wheezing,,,fatigue
COVID-19,muscle pain,fever,cough,
Diabetes,,unexplained weight loss,fatigue,extreme hunger
Viral Fever,,body ache,fatigue,fever
Acid Peptic Disease,,loss of appetite,,nausea
Pneumonia,,difficulty breathing,,fever
Gastroenteritis,stomach pain,headache,,fever
Gastroenteritis,fever,headache,stomach pain,vomiting
Pneumonia,cough,sweating,,chest pain
Pneumonia,fever,,fatigue,cough
COVID-19,,,fatigue,muscle pain
Hypertension,,chest pain,,shortness of breath
Migraine,headache,sensitivity to sound,vomiting,cough
Anemia,,cold hands and feet,pale skin,
Viral Fever,,,body ache,fever
Typhoid,rash,weakness,stomach pain,diarrhea
Asthma,cough,fatigue,,
Migraine,sensitivity to sound,,blurred vision,headache
Pneumonia,,cough,sweating,chills
Diabetes,,extreme hunger,,unexplained weight loss
Asthma,wheezing,fatigue,cough,difficulty breathing
Malaria,,muscle pain,,nausea
Migraine,sensitivity to light,blurred vision,headache,
Migraine,sensitivity to sound,nausea,blurred vision,headache
Pneumonia,fatigue,fever,sweating,difficulty breathing
Gastroenteritis,fever,vomiting,nausea,diarrhea
Migraine,headache,sensitivity to light,sensitivity to sound,blurred vision
Anemia,,weakness,cold hands and feet,
Asthma,fatigue,stomach pain,chest pain,shortness of breath
Malaria,chills,vomiting,headache,sweating
Anemia,weakness,,pale skin,chest pain
Diabetes,fatigue,frequent urination,blurred vision,increased thirst
Typhoid,,rash,headache,diarrhea
Migraine,sensitivity to light,vomiting,blurred vision,nausea
Viral Fever,,sweating,,headache
Asthma,difficulty breathing,cough,,
Anemia,weakness,fatigue,chest pain,
Diabetes,frequent urination,extreme hunger,,
Hypertension,,,shortness of breath,blurred vision
Dengue,joint pain,rash,,severe headache
Dengue,vomiting,fever,severe headache,rash
Migraine,,blurred vision,headache,nausea
Gastroenteritis,,headache,,fever
Viral Fever,mild cough,,chills,headache
Malaria,,,nausea,muscle pain
Hypertension,,headache,dizziness,
COVID-19,,loss of smell,cough,
Diabetes,increased thirst,unexplained weight loss,,
Viral Fever,,chills,,body ache
Dengue,joint pain,severe headache,muscle pain,vomiting
COVID-19,fever,loss of smell,loss of taste,difficulty breathing
Gastroenteritis,,vomiting,stomach pain,headache
Asthma,chest pain,wheezing,cough,shortness of breath
Dengue,nausea,rash,,
Dengue,severe headache,high fever,rash,nausea
Diabetes,,frequent urination,extreme hunger,
Viral Fever,fever,,fatigue,
Anemia,cold hands and feet,chest pain,weakness,pale skin
Allergy,,,shortness of breath,sneezing
COVID-19,,muscle pain,loss of smell,
Malaria,muscle pain,,nausea,
Pneumonia,,chills,fatigue,difficulty breathing
Pneumonia,fever,cough,chest pain,fatigue
Anemia,pale skin,fatigue,,
Dengue,nausea,,joint pain,
Typhoid,high fever,diarrhea,,
COVID-19,fatigue,loss of smell,,muscle pain
Acid Peptic Disease,stomach pain,vomiting,indigestion,
COVID-19,difficulty breathing,loss of taste,fatigue,fever
Allergy,sneezing,itchy eyes,rash,runny nose
Anemia,headache,,dizziness,weakness
Gastroenteritis,headache,nausea,vomiting,
Anemia,,pale skin,dizziness,
Gastroenteritis,nausea,diarrhea,headache,
Allergy,,itchy eyes,shortness of breath,rash
Pneumonia,chills,sweating,fatigue,difficulty breathing
Gastroenteritis,stomach pain,,,diarrhea
Diabetes,unexplained weight loss,frequent urination,extreme hunger,blurred vision
Typhoid,high fever,weakness,,headache
Anemia,chest pain,,fatigue,weakness
Acid Peptic Disease,,stomach pain,loss of appetite,nausea
Dengue,high fever,severe headache,,joint pain
Allergy,shortness of breath,rash,itchy eyes,sneezing
Asthma,,cough,,fatigue
Gastroenteritis,nausea,vomiting,headache,
Migraine,sensitivity to light,,sensitivity to sound,headache
Gastroenteritis,vomiting,nausea,indigestion,stomach pain
Anemia,pale skin,,cold hands and feet,headache
Acid Peptic Disease,,indigestion,vomiting,
Migraine,blurred vision,dizziness,sensitivity to sound,headache
Pneumonia,fever,cough,chills,difficulty breathing
Anemia,pale skin,,headache,chest pain
Malaria,,fever,sweating,chills
Allergy,,rash,,shortness of breath
Anemia,,headache,,dizziness
Migraine,,vomiting,nausea,
COVID-19,difficulty breathing,,muscle pain,loss of taste
Acid Peptic Disease,nausea,,heartburn,
Asthma,,difficulty breathing,fatigue,
Pneumonia,chills,,,fatigue
Pneumonia,fatigue,sweating,chills,cough
COVID-19,fever,cough,loss of smell,loss of taste
Pneumonia,fever,chills,chest pain,
Asthma,cough,chest pain,,shortness of breath
Malaria,muscle pain,sweating,fever,chills
Dengue,,rash,nausea,high fever
Migraine,vomiting,sensitivity to sound,nausea,dizziness
Gastroenteritis,fever,diarrhea,stomach pain,nausea
Migraine,sensitivity to light,,,nausea
Migraine,,nausea,sensitivity to sound,blurred vision
Anemia,dizziness,chest pain,pale skin,weakness
Gastroenteritis,fever,headache,diarrhea,
Allergy,itchy eyes,,,rash
Viral Fever,fever,,body ache,sweating
Hypertension,nosebleeds,chest pain,dizziness,blurred vision
Viral Fever,mild cough,headache,fatigue,sweating
Typhoid,headache,rash,diarrhea,high fever
Allergy,sneezing,rash,,shortness of breath
Anemia,,,cold hands and feet,pale skin
Acid Peptic Disease,loss of appetite,nausea,heartburn,vomiting
COVID-19,loss of taste,fatigue,difficulty breathing,
Gastroenteritis,stomach pain,vomiting,fever,headache
Malaria,chills,fever,sweating,muscle pain
Typhoid,diarrhea,headache,loss of appetite,high fever
Migraine,,headache,blurred vision,
Acid Peptic Disease,indigestion,,,loss of appetite
Anemia,headache,chest pain,,
Asthma,chest pain,cough,,wheezing
COVID-19,cough,,,muscle pain
Pneumonia,fatigue,difficulty breathing,chest pain,
Viral Fever,,,sweating,chills
COVID-19,muscle pain,difficulty breathing,,
Viral Fever,body ache,fatigue,headache,
Gastroenteritis,headache,nausea,fever,diarrhea
Common Cold,cough,,sore throat,runny nose
COVID-19,,fever,,loss of smell
Common Cold,,runny nose,,sneezing
COVID-19,,difficulty breathing,loss of smell,
Gastroenteritis,,stomach pain,nausea,
Typhoid,loss of appetite,stomach pain,high fever,rash
Typhoid,,,rash,diarrhea
Viral Fever,headache,,sweating,fever
Allergy,cough,sneezing,shortness of breath,itchy eyes
Typhoid,,,headache,weakness
Viral Fever,mild cough,fever,chills,headache
Pneumonia,fatigue,cough,,chills
Allergy,shortness of breath,runny nose,rash,itchy eyes
Dengue,high fever,joint pain,muscle pain,severe headache
Dengue,,,rash,joint pain
Anemia,,weakness,,pale skin
Gastroenteritis,headache,vomiting,,fever
Dengue,,muscle pain,,nausea
Anemia,dizziness,weakness,pale skin,fatigue
Malaria,muscle pain,fever,,nausea
Asthma,chest pain,difficulty breathing,fatigue,shortness of breath
Typhoid,headache,rash,stomach pain,weakness
Pneumonia,cough,fatigue,,
Diabetes,unexplained weight loss,extreme hunger,frequent urination,fatigue
Gastroenteritis,nausea,,vomiting,fever
Viral Fever,vomiting,sweating,fever,mild cough
Common Cold,sneezing,sore throat,runny nose,
Common Cold,sore throat,,fatigue,
Acid Peptic Disease,indigestion,loss of appetite,vomiting,nausea
Viral Fever,mild cough,body ache,sweating,headache
Diabetes,increased thirst,,frequent urination,fatigue
Viral Fever,fever,sweating,fatigue,headache
Allergy,,itchy eyes,cough,runny nose
Acid Peptic Disease,indigestion,nausea,,stomach pain
Hypertension,,shortness of breath,chest pain,nosebleeds
Asthma,vomiting,difficulty breathing,wheezing,fatigue
Malaria,nausea,,,sweating
Pneumonia,chest pain,sweating,fever,difficulty breathing
COVID-19,loss of smell,muscle pain,fever,
Diabetes,fatigue,unexplained weight loss,extreme hunger,increased thirst
Diabetes,,increased thirst,nausea,blurred vision
Acid Peptic Disease,,indigestion,loss of appetite,
Malaria,nausea,,,sweating
Allergy,shortness of breath,rash,runny nose,itchy eyes
Hypertension,chest pain,,shortness of breath,
Malaria,chills,muscle pain,,
Viral Fever,mild cough,,,sweating
Dengue,muscle pain,,vomiting,severe headache
COVID-19,,,fever,loss of smell
Common Cold,increased thirst,sneezing,congestion,fatigue
Typhoid,diarrhea,high fever,loss of appetite,rash
Hypertension,dizziness,nosebleeds,chest pain,headache
Allergy,rash,cough,itchy eyes,sneezing
Migraine,blurred vision,nausea,,sensitivity to light
Viral Fever,chills,,,fever
Dengue,joint pain,,high fever,severe headache
Pneumonia,chills,chest pain,,cough
COVID-19,difficulty breathing,,,fatigue
Pneumonia,fever,difficulty breathing,,fatigue
Gastroenteritis,vomiting,,stomach pain,
Malaria,,chills,nausea,fever
Acid Peptic Disease,stomach pain,,vomiting,
Malaria,vomiting,chills,,fever
Dengue,high fever,rash,joint pain,muscle pain
Asthma,,wheezing,difficulty breathing,shortness of breath
Acid Peptic Disease,stomach pain,vomiting,heartburn,indigestion
Viral Fever,sweating,fever,mild cough,chills
Typhoid,,loss of appetite,high fever,headache
Hypertension,dizziness,,,blurred vision
Malaria,nausea,sweating,headache,chills
Diabetes,,,blurred vision,frequent urination
Common Cold,cough,fatigue,,sneezing
Pneumonia,sneezing,sweating,,chest pain
Pneumonia,,cough,fatigue,loss of taste
Typhoid,headache,diarrhea,,
Migraine,sensitivity to light,headache,nausea,sensitivity to sound
Pneumonia,fatigue,,,sweating
Pneumonia,fatigue,fever,sweating,cough
Dengue,nausea,,,severe headache
Typhoid,headache,,,stomach pain
Asthma,,wheezing,difficulty breathing,chest pain
Common Cold,,congestion,sore throat,cough
Hypertension,,nosebleeds,headache,chest pain
Diabetes,extreme hunger,,frequent urination,
Hypertension,dizziness,,headache,shortness of breath
Pneumonia,fatigue,,chest pain,
Typhoid,rash,,headache,
Malaria,chills,fever,,headache
Dengue,vomiting,severe headache,rash,joint pain
Migraine,sensitivity to sound,vomiting,,
Pneumonia,fatigue,chills,fever,difficulty breathing
Typhoid,,,loss of appetite,diarrhea
Hypertension,chest pain,shortness of breath,nosebleeds,headache
Hypertension,dizziness,blurred vision,,
Migraine,sensitivity to light,dizziness,blurred vision,vomiting
Common Cold,congestion,,sneezing,
Anemia,fatigue,headache,pale skin,chest pain
Malaria,vomiting,headache,muscle pain,fever
Typhoid,,nosebleeds,headache,diarrhea
COVID-19,fatigue,difficulty breathing,fever,
Common Cold,headache,,,sneezing
Viral Fever,chills,fatigue,fever,
Diabetes,increased thirst,extreme hunger,unexplained weight loss,frequent urination
Acid Peptic Disease,nausea,loss of appetite,,
Anemia,pale skin,,fatigue,headache
Typhoid,loss of appetite,,rash,
Dengue,high fever,,vomiting,joint pain
Common Cold,,,runny nose,congestion
Hypertension,,,chest pain,dizziness
Viral Fever,mild cough,chills,sweating,fatigue
Pneumonia,fever,fatigue,sweating,unexplained weight loss
COVID-19,loss of taste,cough,,
Allergy,,cough,sneezing,
Diabetes,,unexplained weight loss,blurred vision,extreme hunger
Hypertension,,nosebleeds,chest pain,
Typhoid,,rash,weakness,high fever
Dengue,high fever,severe headache,,joint pain
Migraine,vomiting,,sensitivity to sound,headache
COVID-19,fatigue,loss of smell,fever,difficulty breathing
Hypertension,,,headache,nosebleeds
Anemia,pale skin,dizziness,,chest pain
Typhoid,cough,weakness,,diarrhea
Asthma,difficulty breathing,shortness of breath,chest pain,wheezing
Allergy,rash,,,sneezing
Diabetes,fatigue,increased thirst,extreme hunger,unexplained weight loss
Typhoid,,diarrhea,rash,headache
COVID-19,cough,loss of taste,loss of smell,fever
Asthma,difficulty breathing,shortness of breath,fatigue,cough
Malaria,muscle pain,,sweating,
Malaria,headache,,sweating,muscle pain
Hypertension,blurred vision,headache,,
Malaria,vomiting,,sweating,chills
Diabetes,increased thirst,,,frequent urination
Hypertension,headache,,nosebleeds,
Anemia,fatigue,cold hands and feet,pale skin,
Viral Fever,fever,headache,body ache,congestion
Common Cold,sore throat,congestion,fatigue,runny nose
Hypertension,nosebleeds,headache,shortness of breath,blurred vision
Anemia,fatigue,,weakness,
Allergy,shortness of breath,sneezing,itchy eyes,weakness
Asthma,wheezing,shortness of breath,cough,
Acid Peptic Disease,heartburn,vomiting,loss of appetite,stomach pain
Asthma,cough,chest pain,difficulty breathing,shortness of breath
Migraine,,,nausea,vomiting
Typhoid,stomach pain,headache,diarrhea,rash
COVID-19,fatigue,loss of smell,muscle pain,
Pneumonia,chest pain,cough,difficulty breathing,sweating
COVID-19,fatigue,,loss of taste,
Viral Fever,,mild cough,,body ache
Common Cold,sore throat,sneezing,cough,fatigue
Viral Fever,mild cough,body ache,fatigue,fever
Asthma,chest pain,difficulty breathing,cough,
Common Cold,fatigue,,cough,
Pneumonia,sweating,difficulty breathing,fatigue,
Acid Peptic Disease,stomach pain,nausea,loss of appetite,indigestion
Allergy,rash,sneezing,shortness of breath,
Pneumonia,cough,difficulty breathing,sweating,chills
Viral Fever,fatigue,headache,,body ache
Pneumonia,difficulty breathing,fever,cough,sweating
Typhoid,loss of appetite,headache,stomach pain,rash
Anemia,chest pain,headache,,
Asthma,,difficulty breathing,shortness of breath,chest pain
Migraine,,headache,dizziness,
Pneumonia,difficulty breathing,chills,,
Allergy,sneezing,,shortness of breath,cough
Migraine,,blurred vision,nausea,sensitivity to light
Diabetes,increased thirst,frequent urination,,
Gastroenteritis,muscle ache,,vomiting,headache
Common Cold,runny nose,congestion,,sneezing
Typhoid,loss of appetite,high fever,weakness,
Anemia,dizziness,fatigue,cold hands and feet,headache
Dengue,nausea,joint pain,rash,vomiting
COVID-19,loss of smell,,,fever
Dengue,rash,severe headache,joint pain,muscle pain
Allergy,,cough,sneezing,itchy eyes
Allergy,,sneezing,,cough
Asthma,shortness of breath,fatigue,wheezing,chest pain
Migraine,nausea,dizziness,headache,sensitivity to light
COVID-19,fever,muscle pain,cough,
Typhoid,high fever,,,rash
Pneumonia,chills,,fever,sweating
Anemia,chest pain,cold hands and feet,,headache
Migraine,vomiting,sensitivity to light,blurred vision,sensitivity to sound
Asthma,shortness of breath,fatigue,wheezing,chest pain
Anemia,chest pain,headache,fatigue,dizziness
Diabetes,,,extreme hunger,blurred vision
COVID-19,muscle pain,loss of taste,loss of smell,cough
COVID-19,difficulty breathing,fatigue,cough,fever
Malaria,nausea,,sweating,muscle pain
Acid Peptic Disease,nausea,stomach pain,indigestion,loss of appetite
Common Cold,headache,,congestion,sneezing
Hypertension,nosebleeds,shortness of breath,,chest pain
Migraine,,dizziness,,sensitivity to sound
Diabetes,increased thirst,blurred vision,,
Pneumonia,fatigue,,,chest pain
Pneumonia,cough,chills,,fever
Gastroenteritis,headache,muscle ache,,
Common Cold,headache,fatigue,sneezing,runny nose
Viral Fever,headache,body ache,chills,fever
Anemia,pale skin,headache,weakness,chest pain
Viral Fever,chills,,,body ache
Gastroenteritis,,headache,muscle ache,stomach pain
Hypertension,,nosebleeds,chest pain,
Viral Fever,fever,headache,mild cough,
Malaria,chills,vomiting,nausea,fever
Viral Fever,mild cough,fever,,headache
Common Cold,fatigue,cough,runny nose,headache
Gastroenteritis,,muscle ache,diarrhea,
Malaria,nausea,vomiting,chills,headache
